# Galaxy: UGC08490
# Distance: 4.65 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   0.340    38.80    3.69     0.91    27.87     0.00     246.74       0.00
   0.680    50.10    3.69     7.10    39.52     0.00     115.82       0.00
   1.020    60.20    3.69    10.23    44.52     0.00      75.75       0.00
   1.360    68.20    3.69    12.18    46.26     0.00      41.22       0.00
   1.690    72.80    3.69    14.42    45.80     0.00      27.51       0.00
   2.030    75.30    3.69    15.29    45.05     0.00      15.53       0.00
   2.370    76.60    3.69    18.41    43.11     0.00       9.72       0.00
   2.700    77.60    3.69    20.65    41.20     0.00       6.89       0.00
   3.050    78.50    3.69    21.24    39.62     0.00       4.81       0.00
   3.380    78.20    3.69    22.11    38.18     0.00       3.48       0.00
   3.720    78.80    3.69    23.77    36.93     0.00       2.42       0.00
   4.060    79.20    3.69    25.04    35.68     0.00       1.42       0.00
   4.390    79.20    3.69    24.74    34.20     0.00       0.59       0.00
   4.740    79.20    3.69    24.74    32.41     0.00       0.26       0.00
   5.080    78.80    3.69    23.87    31.05     0.00       0.18       0.00
   5.410    78.50    3.69    22.31    29.85     0.00       0.11       0.00
   5.750    80.10    3.69    22.60    28.79     0.00       0.07       0.00
   6.090    80.10    3.69    23.18    27.84     0.00       0.04       0.00
   6.420    80.10    3.69    22.99    26.98     0.00       0.02       0.00
   6.770    80.10    3.69    22.99    26.18     0.00       0.01       0.00
   7.110    79.80    3.69    22.80    25.47     0.00       0.01       0.00
   7.440    79.80    3.69    23.87    24.82     0.00       0.01       0.00
   7.780    79.50    3.69    24.06    24.22     0.00       0.00       0.00
   8.120    79.50    3.69    22.89    23.66     0.00       0.00       0.00
   8.460    78.80    3.69    23.09    23.15     0.00       0.00       0.00
   8.800    77.90    3.69    23.38    22.65     0.00       0.00       0.00
   9.130    77.20    3.69    22.80    22.21     0.00       0.00       0.00
   9.470    77.60    3.69    22.21    21.79     0.00       0.00       0.00
   9.770    76.60    3.69    22.21    21.43     0.00       0.00       0.00
  10.150    77.60    3.69    22.50    21.00     0.00       0.00       0.00
