# Galaxy: NGC925
# M_disk = 1.00 × 10^10 M_☉
# R_disk = 3.00 kpc
# M_halo = 10.00 × 10^10 M_☉
# Synthetic data for Synchronism validation
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
   0.500    51.76    5.60     0.00    18.20     0.00  2.994e+02  0.000e+00
   0.796    59.25    6.07     0.00    14.18     0.00  2.713e+02  0.000e+00
   1.092    57.42    6.41     0.00     5.36     0.00  2.458e+02  0.000e+00
   1.388    76.81    6.74     0.00     7.33     0.00  2.227e+02  0.000e+00
   1.684    84.40    7.15     0.00    23.58     0.00  2.018e+02  0.000e+00
   1.980    87.69    7.73     0.00    43.43     0.00  1.828e+02  0.000e+00
   2.276   105.79    8.52     0.00    67.16     0.00  1.657e+02  0.000e+00
   2.571   129.92    9.58     0.00    95.24     0.00  1.501e+02  0.000e+00
   2.867   150.87   10.94     0.00   128.34     0.00  1.360e+02  0.000e+00
   3.163   200.00   12.64     0.00   167.33     0.00  1.232e+02  0.000e+00
   3.459   227.21   14.73     0.00   213.30     0.00  1.116e+02  0.000e+00
   3.755   295.13   17.28     0.00   267.61     0.00  1.012e+02  0.000e+00
   4.051   351.21   20.35     0.00   331.86     0.00  9.166e+01  0.000e+00
   4.347   425.44   24.03     0.00   407.97     0.00  8.305e+01  0.000e+00
   4.643   523.87   28.44     0.00   498.24     0.00  7.525e+01  0.000e+00
   4.939   612.17   33.71     0.00   605.29     0.00  6.818e+01  0.000e+00
   5.235   745.38   39.99     0.00   732.20     0.00  6.177e+01  0.000e+00
   5.531   925.87   47.44     0.00   882.48     0.00  5.597e+01  0.000e+00
   5.827  1114.21   56.27     0.00  1060.11     0.00  5.071e+01  0.000e+00
   6.122  1274.37   66.70     0.00  1269.57     0.00  4.595e+01  0.000e+00
   6.418  1476.97   78.98     0.00  1515.82     0.00  4.163e+01  0.000e+00
   6.714  1842.94   93.38     0.00  1804.33     0.00  3.772e+01  0.000e+00
   7.010  2023.52  110.19     0.00  2141.00     0.00  3.418e+01  0.000e+00
   7.306  2538.54  129.72     0.00  2532.11     0.00  3.097e+01  0.000e+00
   7.602  3318.26  152.31     0.00  2984.24     0.00  2.806e+01  0.000e+00
   7.898  3225.06  178.29     0.00  3504.12     0.00  2.542e+01  0.000e+00
   8.194  4367.90  207.99     0.00  4098.38     0.00  2.304e+01  0.000e+00
   8.490  4692.66  241.73     0.00  4773.34     0.00  2.087e+01  0.000e+00
   8.786  5326.23  279.78     0.00  5534.59     0.00  1.891e+01  0.000e+00
   9.082  6283.56  322.38     0.00  6386.58     0.00  1.714e+01  0.000e+00
   9.378  6790.63  369.64     0.00  7332.00     0.00  1.553e+01  0.000e+00
   9.673  9040.86  421.59     0.00  8371.03     0.00  1.407e+01  0.000e+00
   9.969  9005.72  478.06     0.00  9500.52     0.00  1.275e+01  0.000e+00
  10.265 11061.95  538.67     0.00 10712.81     0.00  1.155e+01  0.000e+00
  10.561 12008.38  602.75     0.00 11994.44     0.00  1.046e+01  0.000e+00
  10.857 12499.48  669.25     0.00 13324.57     0.00  9.481e+00  0.000e+00
  11.153 15288.35  736.67     0.00 14673.06     0.00  8.591e+00  0.000e+00
  11.449 17175.23  802.93     0.00 15998.21     0.00  7.784e+00  0.000e+00
  11.745 18157.96  865.22     0.00 17244.13     0.00  7.053e+00  0.000e+00
  12.041 17448.42  919.90     0.00 18337.63     0.00  6.390e+00  0.000e+00
  12.337 19024.99  962.24     0.00 19184.55     0.00  5.790e+00  0.000e+00
  12.633 20749.37  986.29     0.00 19665.59     0.00  5.246e+00  0.000e+00
  12.929 19279.78  984.58     0.00 19631.40     0.00  4.753e+00  0.000e+00
  13.224 19990.86  947.86     0.00 18896.96     0.00  4.307e+00  0.000e+00
  13.520 18292.62  864.77     0.00 17235.11     0.00  3.902e+00  0.000e+00
  13.816 13563.21  721.48     0.00 14369.18     0.00  3.536e+00  0.000e+00
  14.112 10027.46  501.25     0.00  9964.51     0.00  3.204e+00  0.000e+00
  14.408  3349.69  184.02     0.00  3618.87     0.00  2.903e+00  0.000e+00
  14.704  5255.65  260.47     0.00  5148.40     0.00  2.630e+00  0.000e+00
  15.000 17890.88  848.46     0.00 16908.77     0.00  2.383e+00  0.000e+00
