# Galaxy: IC2574
# M_disk = 0.15 × 10^10 M_☉
# R_disk = 1.20 kpc
# M_halo = 1.50 × 10^10 M_☉
# Synthetic data for Synchronism validation
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
   0.500    42.65    5.00     0.00     0.59    40.96  2.186e+02  1.028e+02
   0.612    46.54    5.20     0.00     9.02    38.38  1.991e+02  4.035e+01
   0.724    45.67    5.48     0.00    19.40    36.20  1.813e+02  1.583e+01
   0.837    53.08    5.88     0.00    31.81    34.34  1.651e+02  6.214e+00
   0.949    55.83    6.41     0.00    46.45    32.73  1.504e+02  2.439e+00
   1.061    85.49    7.10     0.00    63.59    31.32  1.369e+02  9.570e-01
   1.173    98.04    7.95     0.00    83.61    30.08  1.247e+02  3.756e-01
   1.286   122.53    9.00     0.00   106.99    28.97  1.136e+02  1.474e-01
   1.398   130.52   10.27     0.00   134.35    27.98  1.034e+02  5.784e-02
   1.510   186.45   11.79     0.00   166.38    27.08  9.419e+01  2.270e-02
   1.622   217.23   13.60     0.00   203.96    26.26  8.578e+01  8.908e-03
   1.735   278.08   15.74     0.00   248.09    25.51  7.812e+01  3.496e-03
   1.847   286.26   18.29     0.00   299.96    24.82  7.115e+01  1.372e-03
   1.959   367.55   21.29     0.00   360.94    24.18  6.479e+01  5.384e-04
   2.071   443.72   24.84     0.00   432.61    23.59  5.901e+01  2.113e-04
   2.184   490.02   29.02     0.00   516.76    23.04  5.374e+01  8.291e-05
   2.296   577.69   33.92     0.00   615.41    22.53  4.894e+01  3.254e-05
   2.408   651.86   39.67     0.00   730.83    22.05  4.457e+01  1.277e-05
   2.520   808.07   46.39     0.00   865.55    21.60  4.059e+01  5.011e-06
   2.633  1006.31   54.21     0.00  1022.30    21.17  3.696e+01  1.967e-06
   2.745  1056.30   63.28     0.00  1204.08    20.77  3.366e+01  7.718e-07
   2.857  1546.38   73.77     0.00  1414.09    20.39  3.066e+01  3.029e-07
   2.969  1536.77   85.84     0.00  1655.69    20.03  2.792e+01  1.189e-07
   3.082  1887.38   99.67     0.00  1932.35    19.69  2.543e+01  4.665e-08
   3.194  2088.97  115.42     0.00  2247.59    19.37  2.316e+01  1.831e-08
   3.306  2447.29  133.28     0.00  2604.84    19.06  2.109e+01  7.184e-09
   3.418  3048.38  153.40     0.00  3007.32    18.77  1.921e+01  2.819e-09
   3.531  3432.29  175.92     0.00  3457.84    18.49  1.749e+01  1.106e-09
   3.643  3900.47  200.96     0.00  3958.61    18.22  1.593e+01  4.342e-10
   3.755  4932.29  228.57     0.00  4510.90    17.96  1.451e+01  1.704e-10
   3.867  5080.84  258.76     0.00  5114.74    17.71  1.321e+01  6.687e-11
   3.980  5631.67  291.44     0.00  5768.46    17.48  1.203e+01  2.624e-11
   4.092  6023.35  326.42     0.00  6468.18    17.25  1.096e+01  1.030e-11
   4.204  6998.50  363.37     0.00  7207.21    17.03  9.979e+00  4.041e-12
   4.316  8353.46  401.78     0.00  7975.30    16.82  9.088e+00  1.586e-12
   4.429  9876.69  440.90     0.00  8757.77    16.62  8.276e+00  6.224e-13
   4.541  9108.06  479.74     0.00  9534.51    16.42  7.537e+00  2.443e-13
   4.653 10003.53  516.95     0.00 10278.73    16.23  6.864e+00  9.586e-14
   4.765 10263.63  550.79     0.00 10955.64    16.05  6.251e+00  3.762e-14
   4.878 10527.56  579.05     0.00 11520.79    15.87  5.693e+00  1.476e-14
   4.990 12666.25  598.92     0.00 11918.18    15.70  5.185e+00  5.793e-15
   5.102 11479.18  606.92     0.00 12078.21    15.54  4.722e+00  2.274e-15
   5.214 13897.15  598.76     0.00 11915.11    15.38  4.300e+00  8.922e-16
   5.327 10730.89  569.22     0.00 11324.20    15.22  3.916e+00  3.501e-16
   5.439  9936.86  511.94     0.00 10178.69    15.07  3.566e+00  1.374e-16
   5.551  8306.19  419.31     0.00  8326.01    14.92  3.248e+00  5.393e-17
   5.663  5706.20  282.20     0.00  5583.75    14.78  2.958e+00  2.116e-17
   5.776  1741.77   89.80     0.00  1734.96    14.64  2.694e+00  8.305e-18
   5.888  3381.23  176.88     0.00  3477.02    14.51  2.453e+00  3.259e-18
   6.000 10015.52  520.73     0.00 10354.46    14.38  2.234e+00  1.279e-18
